uid,cid,lon,lat,t_in,t_out
100023,A001,116.320,39.900,2024-01-01 05:30:00,2024-01-01 05:45:00
100023,A002,116.325,39.905,2024-01-01 05:45:00,2024-01-01 06:00:00
100023,A003,116.330,39.910,2024-01-01 06:00:00,2024-01-01 06:30:00
100023,A004,116.340,39.915,2024-01-01 22:30:00,2024-01-01 22:45:00
200441,B001,116.400,39.880,2024-01-01 07:15:00,2024-01-01 07:30:00
200441,B002,116.410,39.875,2024-01-01 07:30:00,2024-01-01 08:30:00
200441,B003,116.420,39.872,2024-01-01 11:00:00,2024-01-01 11:30:00
200441,B004,116.430,39.868,2024-01-01 15:30:00,2024-01-01 16:00:00
300112,C001,116.380,39.920,2024-01-01 08:00:00,2024-01-01 08:20:00
300112,C002,116.388,39.925,2024-01-01 08:20:00,2024-01-01 08:40:00
300112,C003,116.396,39.930,2024-01-01 08:40:00,2024-01-01 09:00:00
400567,D001,116.450,39.900,2024-01-01 09:30:00,2024-01-01 10:00:00
400567,D002,116.455,39.905,2024-01-01 10:00:00,2024-01-01 10:10:00
400567,D003,116.460,39.910,2024-01-01 10:10:00,2024-01-01 10:20:00
500889,E001,116.500,39.880,2024-01-01 06:00:00,2024-01-01 06:20:00
500889,E002,116.510,39.885,2024-01-01 06:20:00,2024-01-01 06:35:00
500889,E003,116.520,39.890,2024-01-01 06:35:00,2024-01-01 06:50:00
